Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-06-18 16:45:04,false,"Seattle Running","7.62","409","00:48:01","148","167","3.2","162","178","6:18","4:59","84","77","1.00","8.8","8.9","277","51.3% L / 48.7% R","6:07","225","0.0","218","391","7,624","--","No","00:03:45.6","8","--","29","14","42","00:47:46","00:54:54","3","56"
Trail Running,2024-06-16 12:33:26,false,"King County Trail Running","6.05","340","00:47:37","136","167","2.7","147","177","7:52","5:40","174","164","0.87","9.5","8.3","307","51.0% L / 49.0% R","7:16","208","0.0","184","339","6,854","--","No","00:00:34.1","7","--","31","21","42","00:47:26","00:55:14","354","453"
Running,2024-06-13 13:36:06,false,"Seattle Running","10.39","567","01:02:55","155","172","3.8","166","180","6:03","4:51","52","54","1.00","9.0","9.2","268","51.1% L / 48.9% R","6:00","226","0.0","221","336","10,280","--","No","00:02:54.3","11","--","31","13","42","01:02:49","01:03:18","4","20"
Running,2024-06-12 11:39:23,false,"Seattle Running","5.84","342","00:38:44","151","177","3.3","161","200","6:38","5:00","135","133","0.94","9.8","9.1","275","--","6:14","226","0.0","216","320","6,246","--","No","00:05:11.4","6","--","--","--","--","00:38:28","00:40:00","27","137"
Trail Running,2024-06-04 12:48:54,false,"Bellevue Trail Running","9.89","596","01:13:29","152","175","3.7","160","206","7:26","5:18","256","255","0.86","10.2","8.8","294","50.3% L / 49.7% R","6:50","219","0.0","206","377","11,478","--","No","00:06:23.5","10","--","34","14","44","01:13:18","01:15:37","63","200"
Treadmill Running,2024-06-02 17:06:54,false,"Treadmill Running","5.27","297","00:45:45","136","165","2.8","152","176","8:41","5:49","--","--","0.77","10.0","7.7","280","--","--","161","0.0","144","234","6,986","--","No","00:45:45","1","--","--","--","--","00:43:00","00:45:45","--","--"
Running,2024-05-30 17:26:29,false,"Seattle Running","10.15","544","01:02:32","150","165","3.6","162","243","6:10","5:18","73","68","1.01","8.9","9.1","276","51.3% L / 48.7% R","6:03","227","0.0","220","362","9,958","--","No","00:01:52.3","11","--","33","17","44","01:02:24","01:06:30","5","30"
Trail Running,2024-05-19 12:53:43,false,"King County Trail Running","7.83","477","00:55:24","150","169","3.4","165","205","7:04","5:25","217","213","0.87","9.7","8.6","287","50.8% L / 49.2% R","6:39","220","0.0","209","356","9,024","--","No","00:06:05.7","8","--","34","21","42","00:55:22","00:55:50","353","461"
Running,2024-05-17 13:21:20,false,"Seattle Running","5.61","288","00:33:04","148","174","3.2","162","178","5:54","3:41","54","82","1.06","8.1","8.7","271","50.7% L / 49.3% R","5:41","238","0.0","224","366","5,250","--","No","00:04:34.7","6","--","33","13","43","00:32:53","00:35:52","8","61"
Trail Running,2024-05-14 15:56:28,false,"Canberra Trail Running","10.02","598","01:07:21","159","182","3.9","165","206","6:43","5:03","311","316","0.91","8.8","8.0","284","50.1% L / 49.9% R","6:10","221","0.0","209","334","10,918","--","No","00:00:12.3","11","--","33","21","41","01:07:13","01:11:22","624","739"
Trail Running,2024-05-13 13:49:04,false,"Canberra Trail Running","11.35","686","01:27:29","151","176","3.6","148","193","7:43","4:32","329","316","0.89","9.4","8.3","303","50.5% L / 49.5% R","6:57","203","0.0","186","349","12,594","--","No","00:02:41.0","12","--","31","14","43","01:25:51","01:31:27","575","702"
Running,2024-05-08 07:53:33,false,"Sydney Running","11.43","601","01:15:17","143","166","3.6","158","248","6:35","2:09","73","67","0.98","8.3","8.3","272","50.7% L / 49.3% R","6:22","212","0.0","198","549","11,680","--","No","00:03:14.8","12","--","28","14","37","01:14:59","01:23:43","2","43"
